game_pk,date,home,away,home_team_id,away_team_id,home_sp_id,away_sp_id,r1_home_runs,r1_away_runs,r1_total_runs,over_0_5,season,home_sp_fip,away_sp_fip,home_team_wrc_plus,away_team_wrc_plus,park_factor_runs,home_sp_r1_runs_avg,home_sp_r1_run_rate,home_sp_r1_starts_n,away_sp_r1_runs_avg,away_sp_r1_run_rate,away_sp_r1_starts_n
718684,2023-04-07,MIN,HOU,142,117,543243.0,664353.0,0,0,0,0,2023,5.1,7.85,4.0,4.857142857142857,99,0.0,0.0,1,0.0,0.0,1
718653,2023-04-09,PIT,CWS,134,145,670912.0,656629.0,0,0,0,0,2023,13.338095238095237,18.33809523809524,5.125,5.777777777777778,95,5.0,1.0,1,0.0,0.0,1
718631,2023-04-10,LAA,WSH,108,120,660761.0,571578.0,2,0,2,1,2023,7.490243902439024,5.655555555555555,6.222222222222222,4.0,98,1.0,1.0,1,0.0,0.0,1
718623,2023-04-11,PIT,HOU,134,117,656605.0,664299.0,0,1,1,1,2023,3.1892857142857145,1.3727272727272728,4.4,5.3,95,0.0,0.0,1,0.0,0.0,1
718622,2023-04-11,TOR,DET,141,116,666201.0,666159.0,0,0,0,0,2023,6.16930693069307,5.2153846153846155,5.4,3.0,101,0.0,0.0,1,1.0,1.0,1
718609,2023-04-12,PHI,MIA,143,146,554430.0,665795.0,0,0,0,0,2023,3.208695652173913,7.45483870967742,4.2,3.3,102,1.0,0.5,2,0.0,0.0,1
718605,2023-04-12,MIN,CWS,142,145,543243.0,608337.0,0,0,0,0,2023,2.0166666666666666,4.655555555555556,4.2,5.3,99,0.0,0.0,2,2.0,1.0,1
718595,2023-04-12,TEX,KC,140,118,543135.0,641745.0,1,0,1,1,2023,1.6294117647058823,3.7382978723404254,5.5,3.4,103,0.0,0.0,2,0.0,0.0,1
718597,2023-04-13,CIN,PHI,113,143,666157.0,663559.0,1,1,2,1,2023,0.6000000000000001,4.684158415841584,4.5,4.1,105,0.0,0.0,1,1.0,1.0,1
718581,2023-04-14,HOU,TEX,117,140,677651.0,527048.0,0,1,1,1,2023,6.211111111111111,2.903921568627451,5.2,4.0,99,0.0,0.0,1,1.0,1.0,1
718566,2023-04-15,CIN,PHI,113,143,668933.0,621381.0,0,0,0,0,2023,3.023076923076923,1.7666666666666668,4.5,4.9,105,0.0,0.0,1,0.0,0.0,1
718565,2023-04-15,ATH,NYM,133,121,660261.0,471911.0,0,0,0,0,2023,5.358064516129033,9.197560975609756,4.3,5.1,97,0.0,0.0,1,0.0,0.0,1
718573,2023-04-15,WSH,CLE,120,114,641771.0,668676.0,3,0,3,1,2023,7.1,5.35,4.2,4.5,99,0.0,0.0,1,2.0,1.0,1
718539,2023-04-17,KC,TEX,118,140,543475.0,594798.0,0,3,3,1,2023,3.5878048780487806,0.939506172839506,4.0,5.3,98,1.0,0.6666666666666666,3,0.0,0.0,1
718538,2023-04-17,STL,ARI,138,109,656427.0,518876.0,0,1,1,1,2023,5.219205298013245,4.627777777777778,3.8,5.0,99,1.0,1.0,1,0.0,0.0,2
718541,2023-04-18,DET,CLE,116,114,593958.0,685410.0,0,0,0,0,2023,5.452941176470588,1.6714285714285715,4.0,4.2,96,0.0,0.0,1,0.0,0.0,1
718529,2023-04-18,NYY,LAA,147,108,657376.0,660761.0,0,2,2,1,2023,6.237254901960785,5.1987654320987655,4.5,4.8,97,1.0,0.5,2,0.5,0.5,2
718528,2023-04-18,MIA,SF,146,137,665795.0,622072.0,0,2,2,1,2023,5.064285714285715,3.7944444444444443,3.8,5.0,93,0.0,0.0,2,0.0,0.0,1
718521,2023-04-18,COL,PIT,115,134,570632.0,592826.0,3,0,3,1,2023,11.164516129032258,5.27741935483871,4.3,4.4,112,0.0,0.0,1,0.0,0.0,1
718514,2023-04-19,KC,TEX,118,140,663903.0,527048.0,0,1,1,1,2023,5.85,4.942105263157895,3.6,6.4,98,4.0,1.0,1,0.5,0.5,2
718513,2023-04-19,DET,CLE,116,114,605513.0,615698.0,0,0,0,0,2023,4.482113821138212,4.613157894736842,3.7,3.6,96,1.0,1.0,1,0.0,0.0,1
718512,2023-04-19,STL,ARI,138,109,663765.0,518516.0,3,0,3,1,2023,6.905970149253731,7.56969696969697,4.2,5.6,99,0.0,0.0,1,1.0,1.0,1
718510,2023-04-19,CWS,PHI,145,143,605182.0,592836.0,2,1,3,1,2023,3.5968944099378883,4.148951048951049,4.0,5.6,101,0.0,0.0,1,0.0,0.0,1
718518,2023-04-19,WSH,BAL,120,110,669022.0,680694.0,0,0,0,0,2023,3.5895104895104897,2.2666666666666666,4.5,5.4,99,0.0,0.0,2,0.0,0.0,1
718501,2023-04-19,HOU,TOR,117,141,677651.0,621244.0,0,0,0,0,2023,5.457142857142857,2.1140845070422536,5.2,4.9,99,0.5,0.5,2,0.0,0.0,1
718481,2023-04-21,SEA,STL,136,138,669923.0,571927.0,0,0,0,0,2023,2.791358024691358,4.970967741935484,4.8,5.5,94,1.0,1.0,1,0.0,0.0,1
718484,2023-04-21,ARI,SD,109,135,668678.0,607625.0,0,0,0,0,2023,2.5871794871794873,2.914814814814815,4.3,3.0,100,0.0,0.0,1,2.0,1.0,1
718466,2023-04-22,LAA,KC,108,118,542881.0,425844.0,0,0,0,0,2023,8.170422535211268,3.8692307692307693,3.3,3.2,98,1.0,0.5,2,0.0,0.0,2
718477,2023-04-22,TB,CWS,139,145,663556.0,656302.0,2,0,2,1,2023,2.1869565217391305,3.1,6.5,3.8,97,0.0,0.0,1,0.0,0.0,1
718459,2023-04-23,BAL,DET,110,116,680570.0,593958.0,0,0,0,0,2023,3.738297872340426,3.7866952789699573,5.6,3.2,101,4.0,1.0,1,0.0,0.0,2
718463,2023-04-23,PIT,CIN,134,113,592826.0,668881.0,1,0,1,1,2023,5.002173913043478,2.2411042944785278,5.8,3.9,95,1.5,0.5,2,0.0,0.0,1
718455,2023-04-23,SF,NYM,137,121,548389.0,656731.0,1,0,1,1,2023,11.5,5.5285714285714285,4.2,6.2,95,0.0,0.0,1,0.0,0.0,1
718458,2023-04-23,PHI,COL,143,115,554430.0,570632.0,1,0,1,1,2023,2.6544554455445546,10.72962962962963,4.4,2.9,102,0.6666666666666666,0.3333333333333333,3,0.0,0.0,2
718445,2023-04-24,CIN,TEX,113,140,666157.0,543135.0,1,0,1,1,2023,4.043396226415094,2.0150943396226415,3.3,7.3,105,0.5,0.5,2,0.0,0.0,3
718448,2023-04-24,CLE,COL,114,115,615698.0,596295.0,0,1,1,1,2023,3.949056603773585,7.515584415584415,3.5,2.8,97,0.0,0.0,2,0.0,0.0,1
718442,2023-04-24,MIN,NYY,142,147,543243.0,666745.0,0,0,0,0,2023,1.9636363636363636,3.9391608391608393,4.4,3.2,99,0.0,0.0,3,4.5,0.5,2
718443,2023-04-24,ATL,MIA,144,146,675911.0,665795.0,0,0,0,0,2023,2.0545454545454547,4.553488372093024,4.8,3.4,100,0.0,0.0,1,0.6666666666666666,0.3333333333333333,3
718447,2023-04-24,BAL,BOS,110,111,665152.0,519242.0,0,0,0,0,2023,6.433333333333334,5.377777777777778,4.6,6.1,101,0.0,0.0,1,3.0,1.0,1
718427,2023-04-25,MIN,NYY,142,147,657746.0,641482.0,0,1,1,1,2023,3.46,3.22987012987013,3.9,3.1,99,0.0,0.0,1,0.0,0.0,2
718426,2023-04-25,CHC,SD,112,135,657006.0,605483.0,0,0,0,0,2023,3.3000000000000003,5.932369942196532,6.0,3.3,98,0.0,0.0,1,1.0,1.0,1
718432,2023-04-25,PIT,LAD,134,119,670912.0,592789.0,1,2,3,1,2023,3.655555555555556,4.554545454545455,5.5,4.2,95,2.5,0.5,2,0.5,0.5,2
718431,2023-04-25,NYM,WSH,121,120,676130.0,680686.0,0,0,0,0,2023,4.7,5.6,6.1,3.0,94,0.0,0.0,1,0.0,0.0,1
718422,2023-04-25,ARI,KC,109,118,669194.0,663903.0,0,1,1,1,2023,5.281818181818181,5.242857142857143,5.3,3.3,100,1.0,0.6666666666666666,3,2.5,1.0,2
718435,2023-04-25,BAL,BOS,110,111,680694.0,446372.0,0,0,0,0,2023,1.7111111111111112,7.377456647398844,4.7,6.0,101,0.0,0.0,2,0.0,0.0,1
718424,2023-04-26,CIN,TEX,113,140,668933.0,592351.0,0,0,0,0,2023,3.2666666666666666,6.252173913043478,3.1,7.8,105,0.0,0.0,2,0.0,0.0,1
718416,2023-04-26,BAL,BOS,110,111,669330.0,656557.0,1,0,1,1,2023,4.039226519337016,4.004761904761905,4.5,5.9,101,1.0,1.0,1,0.0,0.0,1
718423,2023-04-26,SF,STL,137,138,543101.0,571927.0,0,1,1,1,2023,2.6708154506437767,4.750485436893204,4.1,4.9,95,0.0,0.0,1,0.0,0.0,2
718410,2023-04-27,ATL,MIA,144,146,657140.0,666129.0,0,0,0,0,2023,5.675757575757576,1.8671232876712331,4.8,3.1,100,0.0,0.0,1,1.0,1.0,1
718404,2023-04-27,PHI,SEA,143,136,621381.0,669923.0,0,0,0,0,2023,2.7932515337423314,2.5594594594594593,5.2,4.4,102,0.0,0.0,2,0.5,0.5,2
718409,2023-04-27,SF,STL,137,138,657277.0,571945.0,0,0,0,0,2023,3.7953642384105963,5.395081967213115,4.2,4.9,95,0.0,0.0,1,1.0,1.0,1
718391,2023-04-28,MIA,CHC,146,112,666200.0,573186.0,0,0,0,0,2023,3.2893939393939395,3.617241379310345,3.6,6.2,93,0.0,0.0,3,0.0,0.0,1
718392,2023-04-28,TOR,SEA,141,136,666201.0,622491.0,0,0,0,0,2023,5.619685039370079,1.3876712328767125,4.1,3.5,101,0.0,0.0,2,0.0,0.0,1
718382,2023-04-28,LAD,STL,119,138,669160.0,656427.0,2,2,4,1,2023,3.487323943661972,4.945018450184502,4.7,5.0,94,0.0,0.0,1,1.0,1.0,2
718393,2023-04-28,CWS,TB,145,139,608337.0,621107.0,1,1,2,1,2023,4.0285714285714285,2.1,2.7,5.7,101,1.0,0.5,2,0.0,0.0,1
718377,2023-04-29,ATH,CIN,133,113,666205.0,668881.0,0,0,0,0,2023,5.125862068965517,2.203139013452915,4.3,3.6,97,0.0,0.0,1,0.5,0.5,2
718399,2023-04-29,WSH,PIT,120,134,641771.0,592826.0,0,1,1,1,2023,7.295402298850576,3.926771653543307,4.2,6.6,99,0.0,0.0,3,1.0,0.3333333333333333,3
718374,2023-04-29,TEX,NYY,140,147,543135.0,666745.0,0,0,0,0,2023,1.960294117647059,4.251515151515152,7.3,3.8,103,0.25,0.25,4,3.0,0.3333333333333333,3
718373,2023-04-29,CWS,TB,145,139,458681.0,676534.0,0,0,0,0,2023,5.816535433070866,2.6161290322580646,2.5,5.9,101,3.0,1.0,1,0.0,0.0,1
718401,2023-04-29,DET,BAL,116,110,571510.0,680570.0,0,0,0,0,2023,4.793989071038252,3.4141361256544505,2.4,4.6,96,0.0,0.0,1,2.0,0.5,2
718362,2023-04-30,MIN,KC,142,118,543243.0,663903.0,0,0,0,0,2023,1.8931034482758622,4.396296296296296,4.9,3.6,99,0.0,0.0,4,1.6666666666666667,0.6666666666666666,3
718363,2023-04-30,TOR,SEA,141,136,605135.0,594835.0,2,4,6,1,2023,5.480952380952381,3.7132075471698114,4.2,3.3,101,2.0,1.0,1,0.0,0.0,1
718368,2023-04-30,SD,SF,135,137,506433.0,502171.0,0,1,1,1,2023,2.8854077253218886,2.589051094890511,4.4,4.8,96,0.0,0.0,1,0.5,0.5,2
718367,2023-04-30,WSH,PIT,120,134,680686.0,670912.0,2,0,2,1,2023,4.497058823529412,3.4859649122807017,3.5,6.9,99,0.0,0.0,2,2.3333333333333335,0.6666666666666666,3
718358,2023-04-30,COL,ARI,115,109,596295.0,669194.0,0,0,0,0,2023,6.580392156862745,4.655555555555556,3.4,5.8,112,0.0,0.0,2,1.0,0.75,4
718350,2023-05-01,HOU,SF,117,137,677651.0,548389.0,1,0,1,1,2023,3.4703703703703703,8.408641975308642,4.0,4.7,99,0.3333333333333333,0.3333333333333333,3,0.0,0.0,2
718349,2023-05-01,WSH,CHC,120,112,669022.0,592767.0,0,2,2,1,2023,3.2520912547528518,2.949624060150376,4.2,4.7,99,0.0,0.0,3,0.0,0.0,1
718361,2023-05-01,NYM,ATL,121,144,656731.0,450203.0,0,0,0,0,2023,5.74,4.096563573883161,3.9,4.9,94,0.5,0.5,2,0.5,0.5,2
718331,2023-05-02,LAD,PHI,119,143,628711.0,621381.0,1,0,1,1,2023,5.2176470588235295,2.539252336448598,5.4,4.3,94,2.0,1.0,1,0.0,0.0,3
718344,2023-05-02,WSH,CHC,120,112,592866.0,669713.0,0,0,0,0,2023,4.594252873563218,5.857009345794393,4.3,5.0,99,0.0,0.0,2,1.0,1.0,2
718337,2023-05-02,HOU,SF,117,137,686613.0,543101.0,0,1,1,1,2023,2.2496598639455785,3.3389078498293516,3.9,4.6,99,0.0,0.0,1,0.5,0.5,2
718340,2023-05-02,CWS,MIN,145,142,656629.0,657746.0,0,0,0,0,2023,7.226984126984128,2.94375,3.5,5.2,101,1.3333333333333333,0.3333333333333333,3,0.5,0.5,2
718342,2023-05-02,TEX,ARI,140,109,592351.0,668678.0,1,2,3,1,2023,5.6819672131147545,1.4591331269349845,6.6,5.7,103,0.0,0.0,2,0.0,0.0,2
718322,2023-05-03,CWS,MIN,145,142,656302.0,686973.0,3,0,3,1,2023,4.725,7.433333333333334,3.1,5.2,101,1.0,0.5,2,2.0,1.0,1
718326,2023-05-03,HOU,SF,117,137,664285.0,657277.0,0,0,0,0,2023,3.4823529411764707,3.5934210526315793,3.3,4.8,99,0.5,0.5,2,0.0,0.0,2
718321,2023-05-03,MIA,ATL,146,144,666129.0,657140.0,0,0,0,0,2023,1.7363636363636366,4.64320987654321,3.4,5.5,93,0.5,0.5,2,0.0,0.0,2
718324,2023-05-03,NYY,CLE,147,114,657376.0,669456.0,0,2,2,1,2023,4.807317073170732,3.612820512820513,3.0,3.2,97,1.3333333333333333,0.6666666666666666,3,0.0,0.0,1
718319,2023-05-03,ATH,SEA,133,136,676664.0,669302.0,0,0,0,0,2023,5.629644268774705,3.0632352941176473,4.4,3.7,97,0.0,0.0,2,1.0,1.0,1
718309,2023-05-04,TB,PIT,139,134,621107.0,592826.0,0,0,0,0,2023,3.5285714285714285,2.7691176470588235,6.2,5.1,97,0.5,0.5,2,0.75,0.25,4
